client_id,sexe,âge,revenu_mensuel,segment_age,revenu_cat,produit,canal_achat,montant_panier,panier_frequent,note_satisfaction,retour_produit,date_achat
1,Homme,50,3893.7,Mature,Moyen,Sport,Mobile,83.27,Non,2,Non,2023-05-28
2,Femme,39,2885.15,Adulte,Moyen,Électronique,Mobile,47.18,Oui,3,Non,2023-01-13
3,Homme,44,2369.53,Mature,Moyen,Sport,Mobile,72.28,Oui,4,Non,2023-03-13
4,Homme,38,3197.92,Adulte,Moyen,Électronique,Mobile,54.59,Non,3,Non,2023-05-07
5,Homme,20,3774.66,Jeune,Moyen,Sport,Mobile,75.3,Non,4,Non,2023-07-04
6,Femme,29,2599.9,Adulte,Moyen,Mode,Mobile,99.61,Non,3,Non,2023-12-28
7,Homme,44,2544.6,Mature,Moyen,Sport,Email,99.63,Non,2,Non,2023-11-21
8,Homme,39,2216.84,Adulte,Moyen,Sport,Mobile,99.56,Non,3,Non,2023-03-10
9,Homme,49,3968.84,Mature,Moyen,Sport,Mobile,111.24,Non,3,Non,2023-04-08
10,Femme,42,1674.42,Mature,Bas,Beauté,Mobile,23.82,Non,2,Oui,2023-05-06
11,Homme,28,3012.85,Adulte,Moyen,Sport,Mobile,248.03,Non,2,Non,2023-02-18
12,Homme,30,3889.52,Adulte,Moyen,Maison,Mobile,145.39,Non,2,Non,2023-05-06
13,Homme,39,1000.0,Adulte,Bas,Sport,Email,15.28,Non,2,Oui,2023-12-20
14,Homme,18,4394.8,Jeune,Élevé,Électronique,App,144.4,Oui,4,Non,2023-09-24
15,Femme,54,2762.75,Mature,Moyen,Maison,Email,73.34,Non,2,Oui,2023-05-15
16,Homme,42,3327.6,Mature,Moyen,Mode,Email,66.79,Non,2,Oui,2023-05-24
17,Femme,50,2967.94,Mature,Moyen,Maison,Email,110.96,Oui,4,Non,2023-01-18
18,Femme,22,2912.16,Jeune,Moyen,Beauté,Mobile,37.94,Non,2,Oui,2023-07-17
19,Femme,50,2758.51,Mature,Moyen,Mode,Email,475.69,Non,2,Oui,2023-08-30
20,Homme,60,4527.01,Mature,Élevé,Sport,Email,83.01,Oui,5,Non,2023-05-04
21,Femme,24,1693.03,Jeune,Bas,Maison,Mobile,81.94,Oui,5,Non,2023-08-03
22,Homme,45,3760.4,Mature,Moyen,Sport,App,64.18,Oui,5,Non,2023-02-19
23,Femme,38,3505.83,Adulte,Moyen,Beauté,App,79.76,Oui,5,Non,2023-09-13
24,Femme,22,3624.22,Jeune,Moyen,Maison,Desktop,114.77,Non,2,Non,2023-04-12
25,Femme,42,2141.74,Mature,Moyen,Maison,Mobile,51.94,Non,4,Non,2023-03-10
26,Femme,46,2673.95,Mature,Moyen,Mode,Mobile,63.94,Non,3,Non,2023-11-07
27,Femme,31,3785.44,Adulte,Moyen,Beauté,Desktop,52.02,Non,3,Non,2023-10-26
28,Femme,49,1817.08,Mature,Bas,Mode,Mobile,106.86,Non,3,Non,2023-04-01
29,Femme,21,3703.91,Jeune,Moyen,Beauté,Mobile,101.22,Non,3,Non,2023-09-10
30,Femme,23,2330.78,Jeune,Moyen,Maison,Mobile,143.24,Oui,3,Non,2023-05-01
31,Homme,39,4920.7,Adulte,Élevé,Électronique,Desktop,151.14,Non,3,Non,2023-10-04
32,Homme,38,3208.41,Adulte,Moyen,Électronique,Desktop,33.79,Non,3,Non,2023-06-24
33,Femme,30,1906.4,Adulte,Bas,Maison,Desktop,34.34,Oui,3,Non,2023-07-10
34,Femme,46,1282.49,Mature,Bas,Mode,Mobile,42.35,Non,4,Non,2023-06-20
35,Femme,43,2860.82,Mature,Moyen,Beauté,App,41.42,Non,2,Oui,2023-11-29
36,Homme,46,3739.34,Mature,Moyen,Sport,Desktop,73.81,Non,2,Oui,2023-07-09
37,Femme,36,3772.23,Adulte,Moyen,Maison,Desktop,202.17,Non,2,Oui,2023-07-30
38,Homme,44,4607.61,Mature,Élevé,Électronique,Desktop,158.6,Non,2,Oui,2023-11-11
