iter	RMSE
0	108801.5301
1	102713.3174
2	97677.06505
3	92878.71909
4	88956.84275
5	85372.73582
6	82412.67103
7	79715.29013
8	77155.22241
9	74971.58866
10	73070.49647
11	71419.33388
12	69915.26103
13	68650.19986
14	67482.2404
15	66459.67974
16	65392.40119
17	64624.23621
18	63888.63665
19	63215.68992
20	62610.69236
21	62051.92916
22	61394.04212
23	60883.93721
24	60369.95033
25	59883.98532
26	59466.36456
27	58832.89304
28	58398.35031
29	57989.58933
30	57380.89703
31	57084.37224
32	56709.74675
33	56482.85828
34	56086.90198
35	55842.07334
36	55612.42309
37	55290.7774
38	55063.84519
39	54872.60049
40	54634.24585
41	54459.80186
42	54258.68875
43	54060.40169
44	53864.31985
45	53646.13158
46	53487.51644
47	53264.55647
48	53097.01147
49	52956.53086
50	52819.46596
51	52687.95376
52	52527.19856
53	52390.6513
54	52197.00627
55	51961.77446
56	51843.04091
57	51653.87521
58	51438.42236
59	51246.07473
60	51132.35046
61	51018.3584
62	50867.83765
63	50724.77824
64	50630.56558
65	50549.86683
66	50447.72508
67	50347.86292
68	50230.67556
69	50098.61199
70	49977.17874
71	49905.49611
72	49815.41719
73	49689.78136
74	49494.77465
75	49425.07183
76	49288.51157
77	49219.53088
78	49177.83161
79	49104.69095
80	48988.56271
81	48899.21007
82	48707.50255
83	48588.6233
84	48499.68683
85	48453.50594
86	48388.7255
87	48326.63939
88	48211.63132
89	48124.06737
90	47998.86662
91	47921.27673
92	47817.99949
93	47677.8049
94	47622.99896
95	47526.36862
96	47440.57588
97	47379.86164
98	47282.72029
99	47231.30615
100	47167.28475
101	47086.93133
102	46975.34146
103	46927.39506
104	46848.59018
105	46744.11603
106	46646.83497
107	46539.35012
108	46451.94437
109	46408.4042
110	46350.28931
111	46273.35392
112	46156.40232
113	46094.99794
114	46022.21882
115	45970.67183
116	45870.07528
117	45767.66128
118	45668.98706
119	45604.82061
120	45555.45084
121	45497.89691
122	45437.08762
123	45383.74258
124	45258.02825
125	45186.40588
126	45131.73979
127	45024.45597
128	44973.88391
129	44921.77884
130	44854.78987
131	44784.59689
132	44706.56866
133	44647.27335
134	44601.74836
135	44524.68619
136	44478.72367
137	44401.25197
138	44333.89444
139	44284.49019
140	44225.95569
141	44162.15236
142	44093.16915
143	44043.81868
144	43973.01856
145	43934.07372
146	43872.78028
147	43815.54581
148	43759.45362
149	43698.85744
150	43611.7439
151	43572.55436
152	43526.21172
153	43445.54429
154	43360.91492
155	43307.30229
156	43230.44313
157	43187.35962
158	43119.04083
159	43064.7322
160	43017.82638
161	42949.81233
162	42886.03902
163	42825.80351
164	42785.63972
165	42736.26173
166	42700.65691
167	42640.46967
168	42589.4716
169	42529.2265
170	42491.44919
171	42448.7335
172	42397.82562
173	42356.28588
174	42313.30036
175	42272.55985
176	42226.85036
177	42173.56207
178	42126.71016
179	42062.27456
180	41990.26684
181	41949.91624
182	41911.78673
183	41883.73081
184	41853.71443
185	41780.9534
186	41715.78341
187	41671.21953
188	41615.96879
189	41545.48724
190	41482.28248
191	41446.64992
192	41413.59052
193	41379.29169
194	41334.64161
195	41279.06429
196	41228.13143
197	41159.32604
198	41130.38869
199	41096.28322
200	41053.07874
201	41024.75949
202	40964.45947
203	40932.33139
204	40905.85359
205	40880.30764
206	40842.29586
207	40798.99985
208	40740.96167
209	40707.61253
210	40665.48531
211	40631.17958
212	40607.72999
213	40581.90507
214	40527.27252
215	40493.19595
216	40447.24596
217	40409.1997
218	40346.17435
219	40287.47395
220	40260.74842
221	40223.20635
222	40188.36184
223	40162.54887
224	40120.15851
225	40091.17837
226	40044.80734
227	40011.80084
228	39951.4239
229	39915.54191
230	39862.86723
231	39827.40746
232	39783.65914
233	39755.59176
234	39705.86338
235	39668.23675
236	39632.84399
237	39592.88584
238	39571.38714
239	39532.93609
240	39476.74255
241	39443.13563
242	39413.8796
243	39362.40695
244	39338.83087
245	39292.58921
246	39258.48824
247	39244.01051
248	39214.94553
249	39175.30151
250	39138.16264
251	39117.18313
252	39085.83287
253	39035.26838
254	38980.39058
255	38948.64304
256	38913.64704
257	38883.10908
258	38862.75846
259	38835.6649
260	38812.38267
261	38784.98174
262	38735.76579
263	38697.93758
264	38674.38426
265	38637.32179
266	38596.41456
267	38553.39412
268	38512.05577
269	38487.88653
270	38456.11407
271	38429.91993
272	38410.4312
273	38378.59051
274	38358.54959
275	38326.30998
276	38282.55595
277	38250.65267
278	38216.38076
279	38175.60415
280	38159.40024
281	38131.50408
282	38107.69873
283	38087.4189
284	38047.3433
285	38017.94463
286	37993.49645
287	37961.83772
288	37927.43327
289	37893.30843
290	37864.21224
291	37837.2552
292	37795.15919
293	37761.1394
294	37717.72373
295	37667.81274
296	37646.25608
297	37615.02548
298	37586.5189
299	37565.20376
