iter	Passed	Remaining
0	58	17460
1	61	9187
2	64	6383
3	67	4967
4	69	4098
5	71	3504
6	73	3091
7	75	2771
8	78	2522
9	79	2317
10	82	2154
11	84	2017
12	86	1900
13	88	1797
14	89	1706
15	91	1627
16	93	1561
17	95	1500
18	97	1443
19	99	1392
20	101	1347
21	103	1305
22	105	1264
23	106	1228
24	108	1194
25	110	1162
26	112	1134
27	113	1107
28	115	1082
29	117	1057
30	119	1035
31	121	1013
32	122	992
33	124	973
34	126	956
35	128	939
36	129	923
37	131	909
38	133	894
39	135	881
40	137	868
41	139	854
42	140	841
43	142	829
44	144	817
45	145	805
46	147	795
47	149	784
48	151	774
49	152	764
50	154	755
51	156	746
52	158	738
53	160	730
54	162	724
55	164	717
56	166	709
57	168	701
58	169	693
59	171	686
60	173	679
61	175	672
62	176	665
63	178	658
64	180	652
65	182	646
66	183	639
67	185	633
68	187	627
69	189	621
70	191	616
71	193	611
72	194	606
73	196	601
74	198	595
75	200	590
76	202	587
77	204	581
78	206	576
79	207	571
80	209	566
81	211	561
82	212	556
83	214	552
84	216	547
85	219	544
86	220	540
87	223	537
88	224	532
89	227	529
90	228	525
91	230	521
92	232	517
93	234	514
94	236	511
95	238	506
96	240	502
97	241	498
98	243	494
99	245	490
100	247	487
101	249	483
102	251	480
103	252	476
104	254	472
105	256	469
106	258	466
107	260	462
108	261	459
109	264	456
110	265	452
111	267	448
112	269	445
113	270	441
114	272	439
115	274	435
116	276	432
117	278	429
118	280	426
119	282	423
120	284	420
121	286	417
122	288	414
123	290	411
124	292	408
125	295	408
126	298	406
127	300	403
128	303	401
129	304	398
130	306	395
131	308	392
132	310	390
133	312	387
134	314	384
135	316	381
136	318	378
137	320	375
138	321	372
139	323	370
140	326	367
141	328	364
142	329	362
143	331	359
144	333	356
145	335	353
146	337	350
147	338	348
148	340	345
149	342	342
150	344	339
151	346	337
152	347	334
153	349	331
154	351	329
155	353	326
156	355	323
157	357	321
158	359	318
159	361	316
160	363	313
161	365	311
162	367	308
163	369	306
164	371	303
165	373	301
166	374	298
167	376	295
168	378	293
169	380	290
170	382	288
171	383	285
172	385	283
173	387	280
174	389	278
175	391	275
176	393	273
177	395	270
178	397	268
179	399	266
180	401	263
181	402	261
182	404	258
183	406	256
184	408	253
185	410	251
186	412	249
187	414	246
188	416	244
189	418	242
190	419	239
191	421	237
192	423	234
193	425	232
194	427	230
195	430	228
196	432	226
197	435	224
198	437	222
199	439	219
200	441	217
201	443	215
202	445	212
203	446	210
204	448	208
205	450	205
206	452	203
207	454	200
208	455	198
209	458	196
210	459	194
211	461	191
212	463	189
213	465	187
214	467	184
215	469	182
216	471	180
217	473	178
218	475	175
219	477	173
220	479	171
221	480	168
222	482	166
223	484	164
224	486	162
225	488	159
226	490	157
227	492	155
228	494	153
229	496	150
230	497	148
231	499	146
232	501	144
233	504	142
234	506	139
235	507	137
236	509	135
237	511	133
238	513	131
239	515	128
240	516	126
241	518	124
242	520	122
243	522	119
244	524	117
245	526	115
246	528	113
247	529	111
248	531	108
249	533	106
250	535	104
251	537	102
252	539	100
253	540	97
254	542	95
255	544	93
256	546	91
257	548	89
258	550	87
259	552	84
260	554	82
261	555	80
262	557	78
263	559	76
264	562	74
265	564	72
266	565	69
267	567	67
268	569	65
269	571	63
270	573	61
271	575	59
272	576	57
273	578	54
274	580	52
275	582	50
276	584	48
277	586	46
278	588	44
279	590	42
280	592	40
281	594	37
282	596	35
283	598	33
284	601	31
285	603	29
286	605	27
287	607	25
288	609	23
289	611	21
290	612	18
291	614	16
292	616	14
293	618	12
294	620	10
295	622	8
296	624	6
297	627	4
298	629	2
299	631	0
